epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_macro_f1,val_macro_f1
1,0.6993887104988098,0.6788156545639038,0.5225,0.5604,0.5224885349497241,0.5588748362137188
2,0.6696990200042725,0.662976913356781,0.58815,0.6146,0.5881041549627077,0.6034886578208354
3,0.6466549711227417,0.6167460660934448,0.6256,0.6762,0.62436668689943,0.6647765363949775
4,0.6687391205787658,0.6558438788414002,0.59015,0.6202,0.5889132362217209,0.6186083917963088
5,0.6782096119880676,0.6911597517967224,0.5587,0.5348,0.5562701352606876,0.46027062763982424
